Model,Final Train Score,Final CV Score,Train-CV Gap,Score Improvement,Converged,Overfitting,Composite Score
Logistic Regression,0.9133941768773278,0.9094548855181905,0.003939291359137287,0.014229916808761844,✅ Yes, Excellent,0.7563916387131064
Support Vector Machine,0.9991302830273183,0.9257466826024332,0.07338360042488512,0.08499436174043329,⏳ No, Good,0.7578571335218377
Random Forest,1.0,0.924602762918181,0.075397237081819,0.03861477641097433,✅ Yes, Good,0.7474051656167398
XGBoost,1.0,0.9315718668355519,0.06842813316444807,0.0589661270410734,✅ Yes, Good,0.7570507188766562
